feeling,sentence
sad,I am sad.
happy,I am happy!
sad,I don't feel great today.
happy,I am so excited for our summer trip!
sad,I miss my friend.
happy,This food tastes really good!
sad,I want to go home.
happy,I had a lot of fun today.
sad,I wish that it weren't raining outside. This weather is terrible!
sad,I don’t want to wake up now
sad,I don’t want to brush my teeth 
happy,My friend is coming for play date 
happy,I cannot believe that the famous rock band is coming to visit us here!!
happy,"The sun is really bright, and the weather is perfect today!"
happy,The pizza is great
sad,I am sick
sad,My ears are hurting
sad,No one loves me
sad,I am ugly
happy,I am beautiful
happy,Mama loves me
happy,I am going cherry picking
happy,I distributed a bhagavad-gita
happy,Daddy loves me
happy,I am cool
happy,The stars are beautiful
happy,We are going camping
happy,We are going to the zoo
happy,I like my jacket
happy,Grandpa bought me icecream
happy, I feel good mama 
happy,I am dancing mama
happy,Mama sing kirtan
sad,Stop it( my daughter says this when she hears two people arguing)
happy,I am so excited for tomorrow!
sad,Mom and dad are fighting again
happy,I love this cake...it's so yummy! 
happy,I love chocolate and desserts! 
happy,We're going on a camping trip!?!? Yay!!! 
sad,Can we leave now?
sad,I don't like her very much.
sad,She is very mean to me
happy,Can we stay longer?
happy,Can I have more? It's so delicious!
happy,I really really love this present!
sad,I wish I got the same thing as her
sad,Why did she get more presents than I did?
sad,My leg hurts
sad,I really want that popsicle
sad,Why can't I get more candy?
sad,I don't want to do homework
happy,Let's go play! I finished all my homework
happy,When can we hang out? I'm free this weekend!
happy,The weather is beautiful today 
sad,I feel fat
sad,Why is she so skinny
happy,Let's go to the pool
sad,I'm too tired for rock climbing
happy,It's a holiday tomorrow!
happy,Let's do something fun this summer!
sad,I have to go to math camp again this summer
sad,I want to go to sleep
sad,I have to finsh homework before we can head out for ice cream
sad,I don't want to talk to you
sad,I don't have enough money
happy,I have enough money! Let's buy it!
happy,We don't have school tomorrow!
happy,I got new shoes
sad,"Sorry, mom says I can't go"
sad,My mom took my phone away
sad,dad never came home yesterday
sad,"I have to study this weekend, I can't hang out with you"
happy,Mom gave me more chocolate
happy,I really like this song
sad,When can we go to the park?
sad,Why can't I buy that popsicle?
sad,My grandma went to the hospital yesterday
sad,Where is my mom
sad,"I am bloated, I don't feel good..I feel like puking "
happy,Its yummy
sad,Its disgusting
happy,I don't have work today
sad,My friend is gone away
happy,I got to eat my favorite food today 
sad,My music teacher said I can’t sing 
sad,He/she pushed me at school
sad,I can't solve the teacher's math problem
happy,I like to read
happy,I want to go to school
sad,I broke a bone
happy,I cannot believe I won the lottery! I'm so happy to hear that!
sad,I am feeling blue
sad,I feel defeated
sad,Ohh... I wont be able to be there for program tonight.
happy,I am so lucky to have you as my best friend.
happy,All glories to you
happy,deer in the front yard
sad,"no power in the house, cannot use my devices"
happy,kittens playing with toys
happy,sleeping in late
sad,My doctor says I cannot have sugar
happy,The dance show went great!
sad,I cant find my homework!
sad,The cat pooped in the hallway
happy,I got an A on my test!
happy,Summer is here!
happy,I cannot wait for the party today!
sad,I have slime in my hair!
happy,My friend is celebrating her birthday today!
